Capteur 1,Capteur 2,Capteur 3,Capteur 4
11.88,0.0,15.86,61.25
69.29,5.15,15.86,60.42
71.31,5.24,15.86,59.5
70.62,5.25,15.96,61.57
71.42,5.15,15.86,55.91
70.98,5.24,15.86,61.18
71.77,5.24,15.86,55.81
71.33,5.24,15.86,60.76
72.13,5.25,15.96,60.45
278.07,5.13,15.86,50.17
278.49,5.13,15.86,60.83
16.81,5.24,15.86,58.65
278.07,5.24,15.86,60.88
75.17,5.13,15.86,60.84
75.99,5.13,15.86,50.92
273.75,5.15,15.86,49.74
274.19,5.25,15.88,55.81
273.38,5.13,15.86,60.03
58.57,5.24,15.86,50.22
278.46,5.13,15.86,23.9
278.09,5.25,15.96,60.72
278.92,5.13,15.86,62.54
278.49,5.13,15.86,52.19
278.51,5.13,15.86,59.99
278.39,5.24,15.86,60.86
277.64,5.25,15.86,50.92
273.82,5.24,15.86,49.64
277.66,5.25,15.86,60.4
277.68,5.15,15.86,57.89
278.12,5.24,15.86,57.87
277.64,5.13,15.86,53.3
268.19,5.24,15.86,61.18
278.1,5.24,15.86,55.76
278.49,5.25,15.88,52.53
277.68,5.13,15.86,67.0
277.66,5.13,15.86,60.4
278.09,5.24,15.86,61.17
278.07,5.24,15.86,61.29
277.64,5.13,15.86,62.14
72.22,5.25,15.86,60.33
278.04,5.25,15.96,60.33
70.62,5.13,15.86,55.96
278.05,5.24,15.98,55.95
273.77,5.24,15.86,55.98
273.48,5.24,15.88,61.59
278.92,5.25,15.86,59.89
278.51,5.13,15.86,53.02
165.51,5.22,15.86,59.04
274.21,5.24,15.86,49.22
274.21,5.13,15.86,56.2
278.07,5.24,15.96,23.99
278.07,5.13,15.86,62.1
278.48,5.25,15.86,63.39
273.33,5.25,15.86,57.07
274.23,5.24,15.88,56.03
274.31,5.24,15.86,61.97
278.49,5.24,15.86,59.91
272.95,5.24,15.86,56.08
272.97,5.13,15.86,62.12
273.39,5.25,15.96,50.47
272.97,5.24,15.86,60.84
273.89,5.24,15.86,55.78
273.38,5.24,15.86,55.73
272.94,5.15,15.86,60.72
272.54,5.24,15.86,60.86
272.63,5.25,15.86,23.89
272.54,5.24,15.86,23.89
272.97,5.13,15.86,24.84
